Prediction Type,Sentiment Model,Normal Model
Negative Close,985.5006339,1273.950261
Negative Open,688.6172037,600.6088939
Negative Average,1584.167662,1662.115946
Positive Close,1172.735684,1098.876961
Positive Open,559.5240433,626.4428128
Positive Average,1423.409904,1592.362511
Neutral Close,1246.95208,1237.268422
Neutral Open,732.6138437,687.1244287
Neutral Average,1584.167662,1662.115946
Compound Close,1048.110987,1131.141059
Compound Open,562.485755,697.0007588
Compound Average,1584.167662,1643.132532